problem_name;problem_dimension;encoding;selection_operator;crossover_operator;mutation_operator;population_size;number_elites;crossover_probability;mutation_probability;alpha;selection_parameter;average_score;best_score;worst_score;average_running_time;average_generations_completed
gr24;24;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;0.09;0.0;0.47;24.61;132.0
gr48;48;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;1.62;0.83;2.66;30.65;131.4
st70;70;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;3.11;1.33;4.74;40.15;138.2
rd100;100;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;4.64;1.63;6.81;59.64;170.2
eil101;101;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;6.93;4.93;9.22;68.11;194.4
ch150;150;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;7.65;3.31;9.83;115.42;276.2
fri26;26;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;0.0;0.0;0.0;20.27;103.0
att48;48;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;1.38;0.74;3.24;28.92;121.0
eil76;76;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;6.36;5.2;7.62;46.21;161.8
kroD100;100;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;3.56;0.96;5.75;58.92;169.4
lin105;105;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;2.67;0.63;5.56;65.45;188.6
brg180;180;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;13.74;7.69;16.92;176.29;433.0
bays29;29;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;0.33;0.0;0.54;23.17;118.0
eil51;51;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;2.25;0.0;3.76;32.06;134.2
pr76;76;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;3.23;0.96;5.19;42.41;143.2
kroC100;100;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;3.0;1.58;4.95;57.48;165.8
gr120;120;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;5.66;4.44;6.96;87.86;239.4
gr202;202;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;7.88;7.26;8.5;187.05;372.8
bayg29;29;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;0.25;0.0;0.75;22.46;112.6
berlin52;52;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;2.94;0.0;5.09;34.77;149.0
gr96;96;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;3.88;2.13;7.39;56.56;169.8
kroA100;100;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;3.34;1.5;5.84;57.23;160.8
ch130;130;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;4.43;1.69;6.61;97.41;245.8
tsp225;225;permutational;tournament;OX;sim-dynamic;2000;20;1;0.6;0.15;25;9.0;7.3;11.03;218.76;386.8
